codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
W73004WB2006,IML 04G P3 WH 70ELR 4C PEGAMEN AC 25WEB,RH01,4000.0,537970.0,0.0,0.0,0.0,537970.0
C52000GIEX62,"CAP SEAL 2"" WI9016 P/MOBIL",RH01,4000.0,503990.0,0.0,0.0,0.0,503990.0
C58000056442,PP COPOLIMERO TP TB MFR 60,RH01,4000.0,490000.0,0.0,0.0,0.0,490000.0
N25004023312,ETIQ AUT BCA TRANSFER MAT 100x150MM 80G,RH01,4000.0,480000.0,0.0,0.0,0.0,480000.0
Q63000072101,M BATCH VER CM-5161 #1704070-S,RH01,4000.0,473683.0,0.0,0.0,0.0,473683.0
W73001SHN001,IML 01G R1 WH 50LIW 5C GRAL POLYME 25SHW,RH01,4000.0,471150.0,0.0,0.0,0.0,471150.0
J07000220000,AR 58 ZN 0.70 X 22,RH01,4000.0,452850.0,0.0,4740.0,0.0,457590.0
W73004SO2005,IML 04G P3 WH 70ELR 5C TOPEX AC 23WEB,RH01,4000.0,452810.0,0.0,0.0,0.0,452810.0
N25004023314,ETIQ AUT YELLOW-U 100X150 MM 140G/M2,RH01,4000.0,448000.0,0.0,0.0,0.0,448000.0
W73004AIB001,IML 04G P3 WH 70ELR 4C ECO AC BEKR 25AIS,RH01,4000.0,431430.0,0.0,0.0,0.0,431430.0
W73020EXM004,IML 20L PG WH 70ELR 6C SUPER 15W40 25EXX,RH01,4000.0,415000.0,0.0,0.0,0.0,415000.0
W73005CPL001,IML 05G R3 HG 70ELR 5C MOBIL 25COP,RH01,4000.0,405340.0,0.0,0.0,0.0,405340.0
W73004CET001,IML 04G P3 WH 70ELR 5C CONST PM 25CER,RH01,4000.0,401960.0,0.0,0.0,0.0,401960.0
N25004023300,ETIQ AUT BLANCA P/COD BARRA 45 X 85 MM,RH01,4000.0,400000.0,0.0,0.0,0.0,400000.0
N25004023309,ETIQ AUT AMARILLA 100 X 100 MM,RH01,4000.0,400000.0,0.0,0.0,0.0,400000.0
N25009063701,SELLO AMARR ICATOM ROJ C/INS MET #SEM/22,RH01,4000.0,399000.0,0.0,0.0,0.0,399000.0
W73004SJV002,IML 04G P3 WH 70ELR 5C KP LATEX CM 23SHW,RH01,4000.0,396690.0,0.0,0.0,0.0,396690.0
W73001ME3001,IML 01G M3 WH 50LIH 4C EBEL 23MEL,RH01,4000.0,393320.0,0.0,2640.0,0.0,395960.0
W73004CE4003,IML 04G P3 WH 70ELR 5C LATEX CONST 24CE,RH01,4000.0,389030.0,0.0,0.0,0.0,389030.0
C51000054904,GI CLAMPS ISO T-60 SP W/10 DIMPLES,RH01,4000.0,386700.0,0.0,0.0,0.0,386700.0
C52000GI0002,"CAP SEAL 2"" WI9016 N/PRINT",RH01,4000.0,385000.0,0.0,0.0,0.0,385000.0
W73005AA1006,IML 05G P3 WH 70ELR 4C DECORALTEX 241AC,RH01,4000.0,365050.0,0.0,0.0,0.0,365050.0
W73004SIO003,IML 04G P3 WH 70ELR 5C ESMALTE MAT 24CER,RH01,4000.0,349210.0,0.0,0.0,0.0,349210.0
C41005522604,55G NI EPDM BLCK ESP GASKET FDA ALIV PRE,RH01,4000.0,336650.0,0.0,0.0,0.0,336650.0
W73001PUC016,IML 01G M3 WH 50LIH 4C FRUTERIA 21PUR,RH01,4000.0,334780.0,0.0,0.0,0.0,334780.0
W73004SI2003,IML 04G P3 WH 70ELR 5C ESMALTE SEM 24CER,RH01,4000.0,334050.0,0.0,0.0,0.0,334050.0
W73001CE2002,IML 01G R1 WH 50LIW 5C PASTA PM15 25CER,RH01,4000.0,333900.0,0.0,0.0,0.0,333900.0
N25002514425,BOL LDPE TT 178X100CM 50M TB 60G,RH01,4000.0,331250.0,0.0,0.0,0.0,331250.0
C38000063716,SELLO SEG PLAST NEG # AMARRA ACONCA,RH01,4000.0,331200.0,0.0,0.0,0.0,331200.0
W73004CE2003,IML 04G P3 WH 70ELR 5C PM-15 25CER,RH01,4000.0,318000.0,0.0,0.0,0.0,318000.0
N25004023303,ETIQ AUT BLANCA 100 X 100 MM (RO=1200),RH01,4000.0,312000.0,0.0,0.0,0.0,312000.0
W73001PA5002,IML 01G R1 WH 50LIW 4C EAA SC BLAN 24PAS,RH01,4000.0,305530.0,0.0,0.0,0.0,305530.0
Q63802143700,M BATCH MAR CM-8021 (11183) ETM-051,RH01,4000.0,303427.0,0.0,0.0,0.0,303427.0
W73004CEU001,IML 04G P3 WH 70ELR 5C CONST TEXTU 25CER,RH01,4000.0,302200.0,0.0,0.0,0.0,302200.0
W73004OD1001,IML 04G P3 WH 70ELR 5C CREST CERAM 24COR,RH01,4000.0,300770.0,0.0,0.0,0.0,300770.0
N25004023307,ETIQ AUT AMARILLA 50 X 100 MM,RH01,4000.0,300000.0,0.0,0.0,0.0,300000.0
C41001622601,16G EPDM BLCK ESP GASKET FDA,RH01,4000.0,288000.0,0.0,0.0,0.0,288000.0
W73001TA7001,IML 01G R1 WH 50LIW 4C PAST MU A-1 16TAJ,RH01,4000.0,280180.0,0.0,0.0,0.0,280180.0
N25004023325,ETIQ AUT CERESITA 50 X 130 MM 2 COL,RH01,4000.0,270000.0,0.0,0.0,0.0,270000.0
W73005PE8001,IML 05G R3 HG 70ELR 5C LUBRAX VER 23PET,RH01,4000.0,268500.0,0.0,0.0,0.0,268500.0
C38000063713,SELLO SEG PLAST AZU # AMARRA,RH01,4000.0,266000.0,0.0,0.0,0.0,266000.0
W73005SJR003,IML 05G P3 WH 70ELR 5C KP EAA CONS 24SHW,RH01,4000.0,265730.0,0.0,0.0,0.0,265730.0
C41000322504,10L DR EPDM BLCK ESP GASKET FDA,RH01,4000.0,264340.0,0.0,0.0,0.0,264340.0
W73001WA2004,IML 01G M3 WH 50LIH 4C GOLD 23WAT,RH01,4000.0,260400.0,0.0,0.0,0.0,260400.0
Q63500411300,M BATCH AMA CM-5004 ETM-038,RH01,4000.0,256851.0,0.0,0.0,0.0,256851.0
W73005SD7002,IML 05G P3 WH 70ELR 4C GRADUADA 24SOD,RH01,4000.0,255000.0,0.0,0.0,0.0,255000.0
W73001EK2001,IML 01G M3 WH 50LIH 4C ECKART 25ECK,RH01,4000.0,254460.0,0.0,0.0,0.0,254460.0
C58000056405,PP COPOLIMERO BD MFR 19,RH01,4000.0,247500.0,0.0,0.0,0.0,247500.0
W73004CEV001,IML 04G P3 WH 70ELR 5C CONST LATEX 25CER,RH01,4000.0,247070.0,0.0,0.0,0.0,247070.0
W73001TA2001,IML 01G R1 WH 50LIW 4C FRANJ VERDE 16TAJ,RH01,4000.0,245000.0,0.0,0.0,0.0,245000.0
N25002514451,BOL HDPE TT 155X 90CM 70μ ARO TB CN,RH01,4000.0,238340.0,4350.0,0.0,0.0,242690.0
W73001WB2004,IML 01G M3 WH 50LIH 4C PEGAMENT AC 25WEB,RH01,4000.0,238660.0,0.0,0.0,0.0,238660.0
Q63030111300,M BATCH AMA CM-0301 ETM-027,RH01,4000.0,237801.0,0.0,0.0,0.0,237801.0
W73001TA4001,IML 01G R1 WH 50LIW 4C LAT PINT FAC16TAJ,RH01,4000.0,236940.0,0.0,0.0,0.0,236940.0
W81034ML1002,ETI AUT MOLYBDENUM COD 20,RH01,4000.0,235340.0,0.0,0.0,0.0,235340.0
C41003022601,30G EPDM BLCK ESP GASKET FDA,RH01,4000.0,232830.0,0.0,0.0,0.0,232830.0
W73001SL2001,IML 01G R1 WH 50LIW 5C KP EAA TRA 24SHW,RH01,4000.0,232810.0,0.0,0.0,0.0,232810.0
W73001PU6020,IML 01G M3 WH 50LIH 4C TRUFA CHOC 21PUR,RH01,4000.0,229880.0,0.0,0.0,0.0,229880.0
W73001TA5001,IML 01G R1 WH 50LIW 4C MARMO R-1 17TAJ,RH01,4000.0,228720.0,0.0,0.0,0.0,228720.0
W73001SI5001,IML 01G R1 WH 50LIW 5C PASTA MURO 20CER,RH01,4000.0,228600.0,0.0,0.0,0.0,228600.0
W73001SOB001,IML 01G M3 WH 50LIH 5C TOPEX AC 23WEB,RH01,4000.0,228520.0,0.0,0.0,0.0,228520.0
W73001SHZ002,IML 01G R1 WH 50LIW 5C CUBRE MAS 24SHW,RH01,4000.0,228250.0,0.0,0.0,0.0,228250.0
5739X2300000,PER MQ HGO SR CTE ZN CPU M8-1.25X100CRE,RH01,4000.0,227540.0,0.0,0.0,0.0,227540.0
W73004TA7002,IML 04G P3 WH 70LMG 4C PASTA MURO A20TAJ,RH01,4000.0,224990.0,0.0,0.0,0.0,224990.0
W73001ME5001,IML 01G M3 WH 50LIH 4C RELLENO PIE 23MEL,RH01,4000.0,221000.0,0.0,0.0,0.0,221000.0
Q63878114000,M BATCH BLA AZU CM-8781 ETM-242,RH01,4000.0,220996.0,0.0,0.0,0.0,220996.0
W73001TAH002,IML 01G R1 WH 50LIW 4C LATEX AAH 24TAJ,RH01,4000.0,220500.0,0.0,0.0,0.0,220500.0
N25004042206,ETIQ AUT CIRCULAR VERDE 3415C 50MM,RH01,4000.0,216620.0,0.0,0.0,0.0,216620.0
W73001HE1002,IML 01G M3 WH 50LIH 5C MONTA PL500 23HEN,RH01,4000.0,213160.0,0.0,0.0,0.0,213160.0
W73001PU1018,IML 01G M3 WH 50LIH 4C CARAT DECOR 21PUR,RH01,4000.0,212340.0,0.0,0.0,0.0,212340.0
W73001RG3001,IML 01G R1 WH 50LIW 4C AN LATEX20REV,RH01,4000.0,211800.0,0.0,0.0,0.0,211800.0
N25002526201,BOL FUE LDPE TT 130X160X50CM 33μ BD1-20,RH01,4000.0,208550.0,0.0,0.0,0.0,208550.0
C35000212000,2 G ASA MET #10 PIG TAIL W/BLACK GRIP,RH01,4000.0,208000.0,0.0,0.0,0.0,208000.0
